category,name,weight,calorie,explanation
soup,辛いスープ,0,71,辛いスープ。普通でもけっこう辛い。ティッシュの持参は必須だ。
soup,白いスープ,0,71,辛さが気になる人におすすめな濃厚スープ。
soup,トマトなスープ,0,71,うま味と辛味と酸味が三位一体
vegetables,青梗菜,17,2,中華の定番。２番目に選ばれることが多い。
vegetables,ぶなしめじ,15,3,豊富な食物繊維が辛さをやわらげる
vegetables,しいたけ,10,2,じゅわわと染み出るおだしがこれまたうまい
vegetables,豆苗,10,3,中華の定番の草。
vegetables,白きくらげ,10,2,マーラータンの陰の主役。重量オーバーには気をつけろ
vegetables,えのき,10,3,辛い鍋にはつきものの白いやつ
vegetables,パクチー,5,1,エスニックな風が吹く
vegetables,レタス,10,2,さっぱりマイルドな緑のやつ
vegetables,白菜,10,2,鍋といえば右に出るものなし
vegetables,小松菜,10,2,今かなり安い
vegetables,キャベツ,15,3,甘くて歯ごたえ抜群の葉っぱ
vegetables,たけのこ,15,4,ポリポリうまい春のめばえ
vegetables,冬瓜,15,3,大根とカブの中間みたいな感じです
vegetables,しめじ,50,10,歯ごたえが良く、スープの旨味を吸収します。
vegetables,きくらげ,40,8,コリコリとした食感が特徴の低カロリー食材。
vegetables,腐竹,30,15,大豆由来の乾燥食品で、栄養価が高いです。
vegetables,昆布,20,6,海藻特有の風味とミネラルを含みます。
vegetables,れんこん,50,35,シャキシャキとした食感が楽しめる根菜。
vegetables,じゃがいも,60,46,ホクホクとした食感で満腹感を得られます。
vegetables,ブロッコリー,50,15,ビタミンCが豊富で彩りも良い野菜。
vegetables,山芋,50,65,粘り気があり、消化を助ける効果があります。
vegetables,もやし,40,8,低カロリーでシャキシャキとした食感が特徴。
men,もろこし麺,20,70,トウモロコシから作られたほんのり甘い麺。
men,じゃがいも春雨,18,60,じゃがいもで作られた透明でもちもちの春雨。
men,中国春雨,18,62,中国風の春雨で、スープとよく絡みます。
men,刀削麺,20,72,独特の食感と形状が特徴の小麦粉麺。
men,米線,20,68,米粉から作られた滑らかな食感の麺。
men,火鍋春雨,18,65,火鍋に適した太めの春雨で食べ応えがあります。
men,さつまいも春雨,18,62,さつまいも由来の甘みとコシが特徴の春雨。
men,板春雨,18,60,平たい形状でスープとよく絡む春雨。
men,牛すじ麺,20,75,牛すじの旨味が練り込まれたコシのある麺。
nerimono,蟹団子,50,120,蟹の風味豊かな練り物で、スープに旨味を加えます。
nerimono,魚包卵,50,110,魚のすり身で卵を包んだジューシーな練り物。
nerimono,海鮮どうふ,50,90,海鮮の旨味が詰まった柔らかな豆腐状の練り物。
nerimono,ちくわ,40,70,魚のすり身を焼き上げた日本の伝統的な練り物。
nerimono,かにかま,40,80,蟹の風味を再現した手軽なシーフード練り物。
nerimono,肉団子,50,150,ジューシーな肉の旨味が詰まった団子状の練り物。
nerimono,ウインナー,50,160,スモーキーな風味が特徴の小型ソーセージ。
meats,からあげ,60,180,外はカリッと中はジューシーな鶏の唐揚げ。
meats,ポークランチ,50,200,豚肉の旨味が凝縮された加工肉。
meats,鴨血,50,90,鴨の血を固めたもので、鉄分が豊富です。
meats,ハチノス,50,85,牛の第二胃で、独特の食感が楽しめます。
meats,松茸豚団子,50,130,松茸の風味が香る豚肉の団子。
seafoods,エビ,50,60,プリプリとした食感と甘みが特徴の甲殻類。
seafoods,魚,50,70,白身魚などの切り身で、淡白な味わい。
seafoods,魚豆腐,50,80,魚のすり身を豆腐状に固めたヘルシーな食材。
seafoods,ロブスター団子,50,140,ロブスターの風味豊かな贅沢な団子。
sonota,あげぱん,40,150,スープを吸ってジューシーになる揚げパン。
sonota,湯葉,30,50,大豆の風味豊かな薄い膜状の食品。
sonota,うずら,40,60,小さなサイズで濃厚な味わいのうずらの卵。
sonota,白滝,50,10,低カロリーでヘルシーな糸状のこんにゃく。
sonota,卵焼き,50,100,甘みのあるふんわりとした食感の卵料理。
sonota,冷凍豆腐,50,55,凍らせて食感を変えた豆腐で、スープをよく吸います。
sonota,油揚げ,40,150,大豆の風味と油のコクが楽しめる揚げ豆腐。
sonota,もち,50,120,もちもちとした食感で腹持ちが良い食材。
sonota,もちもち豆腐,50,90,もちもちとした独特の食感を持つ豆腐。
sonota,粉耗子,50,110,もち米から作られた団子状の食材で、弾力があります。